iter	RMSE
0	0.1047176072
1	0.101521677
2	0.09809893883
3	0.09491221961
4	0.09173750009
5	0.08910240916
6	0.08626905644
7	0.08359300711
8	0.08121824136
9	0.07854156203
10	0.07608109126
11	0.07360509256
12	0.07148895767
13	0.06947306003
14	0.06751331841
15	0.06578005729
16	0.06396086665
17	0.06231593576
18	0.06062995008
19	0.05888657584
20	0.05737654071
21	0.05586468794
22	0.05465284687
23	0.05334295939
24	0.05217311233
25	0.05103470566
26	0.04992901257
27	0.04875316238
28	0.04769923979
29	0.04666018469
30	0.04554587711
31	0.04458455525
32	0.04373694923
33	0.04278022652
34	0.04194266147
35	0.0412725122
36	0.04060475475
37	0.03992929876
38	0.03925601673
39	0.03851740359
40	0.03789994312
41	0.03736748493
42	0.03682189865
43	0.03624779341
44	0.03580569903
45	0.03534609973
46	0.03486234354
47	0.03435284288
48	0.03395010275
49	0.03355898179
50	0.03315338266
51	0.03272859996
52	0.03237794994
53	0.03202290173
54	0.03169894594
55	0.03137347164
56	0.03102435532
57	0.0307217498
58	0.03039677627
59	0.03015399239
60	0.02983982787
61	0.02957823583
62	0.02928427259
63	0.0290274343
64	0.0287726232
65	0.02857910352
66	0.02839205423
67	0.02820993225
68	0.02798802596
69	0.02782488757
70	0.02764653756
71	0.02741491941
72	0.02726224607
73	0.02710234885
74	0.0269473829
75	0.02680020569
76	0.02666914535
77	0.02652038584
78	0.02636704834
79	0.02620937725
80	0.0260558347
81	0.02596518006
82	0.0258183291
83	0.02566867736
84	0.02553519864
85	0.02539750857
86	0.02529213622
87	0.02517127625
88	0.02501111601
89	0.02495099537
90	0.02482492207
91	0.02471714328
92	0.02458659227
93	0.02449237808
94	0.02436764504
95	0.02424749873
96	0.02415011402
97	0.02406070345
98	0.02398005914
99	0.02388632338
100	0.02380395129
101	0.02373093995
102	0.02364327107
103	0.02355700374
104	0.02347832234
105	0.02342115584
106	0.02333609335
107	0.02324920141
108	0.02318884497
109	0.02311566941
110	0.02303098024
111	0.02297226348
112	0.02288975681
113	0.02284951572
114	0.02275747278
115	0.02272414705
116	0.02264035146
117	0.02258299031
118	0.02250401843
