iter	Passed	Remaining
406	4366	6361
407	4375	6348
408	4382	6333
409	4391	6319
410	4397	6302
411	4405	6287
412	4413	6273
413	4422	6259
414	4429	6243
415	4436	6228
416	4445	6214
417	4453	6200
418	4459	6184
419	4475	6180
420	4485	6168
421	4493	6154
422	4500	6139
423	4507	6122
424	4515	6109
425	4522	6093
426	4529	6078
427	4537	6063
428	4548	6053
429	4554	6037
430	4564	6025
431	4571	6010
432	4579	5996
433	4586	5981
434	4593	5966
435	4601	5951
436	4608	5937
437	4615	5922
438	4623	5908
439	4630	5893
440	4638	5880
441	4647	5867
442	4655	5853
443	4662	5838
444	4672	5827
445	4680	5813
446	4688	5800
447	4695	5785
448	4702	5770
449	4708	5754
450	4717	5742
451	4727	5731
452	4736	5719
453	4742	5703
454	4748	5687
455	4756	5674
456	4764	5661
457	4773	5648
458	4779	5633
459	4787	5619
460	4794	5605
461	4801	5591
462	4808	5576
463	4818	5565
464	4824	5550
465	4833	5539
466	4841	5525
467	4849	5512
468	4856	5498
469	4864	5485
470	4872	5472
471	4880	5459
472	4887	5445
473	4896	5433
474	4903	5419
475	4909	5405
476	4917	5391
477	4928	5381
478	4934	5366
479	4942	5354
480	4949	5340
481	4958	5328
482	4965	5315
483	4975	5304
484	4985	5293
485	4996	5283
486	5008	5276
487	5024	5271
488	5048	5275
489	5069	5275
490	5079	5265
491	5088	5253
492	5097	5242
493	5106	5230
494	5116	5219
495	5125	5207
496	5134	5196
497	5144	5186
498	5156	5177
499	5164	5164
500	5171	5151
501	5180	5139
502	5187	5125
503	5194	5112
504	5201	5098
505	5208	5085
506	5217	5073
507	5225	5061
508	5236	5051
509	5244	5039
510	5253	5027
511	5261	5014
512	5271	5004
513	5279	4992
514	5286	4978
515	5294	4966
516	5301	4953
517	5309	4940
518	5315	4926
519	5323	4913
520	5331	4901
521	5339	4889
522	5346	4875
523	5355	4864
524	5362	4851
525	5370	4839
526	5376	4825
527	5386	4814
528	5392	4800
529	5401	4790
530	5408	4777
531	5418	4766
532	5425	4753
533	5432	4741
534	5442	4730
535	5449	4717
536	5457	4705
537	5465	4693
538	5471	4679
539	5479	4668
540	5488	4656
541	5495	4643
542	5504	4633
543	5515	4623
544	5523	4610
545	5530	4598
546	5539	4587
547	5546	4575
548	5554	4562
549	5562	4551
550	5576	4543
551	5583	4531
552	5593	4521
553	5602	4510
554	5610	4498
555	5619	4487
556	5628	4476
557	5635	4464
558	5642	4451
559	5650	4439
560	5658	4427
561	5667	4417
562	5675	4405
563	5684	4394
564	5693	4383
565	5704	4373
566	5712	4362
567	5721	4351
568	5732	4341
569	5741	4331
570	5750	4320
571	5761	4310
572	5769	4299
573	5778	4288
574	5787	4277
575	5796	4266
576	5804	4254
577	5812	4243
578	5821	4232
579	5829	4221
580	5836	4209
581	5845	4198
582	5852	4186
583	5860	4174
584	5870	4164
585	5879	4153
586	5886	4141
587	5895	4131
588	5904	4119
589	5913	4109
590	5922	4098
591	5934	4089
592	5950	4084
593	5960	4073
594	5970	4064
595	5979	4053
596	5991	4044
597	6011	4041
598	6023	4032
599	6046	4030
600	6053	4019
601	6070	4013
602	6080	4003
603	6088	3991
604	6096	3980
605	6105	3969
606	6114	3959
607	6124	3948
608	6133	3937
609	6141	3926
610	6149	3915
611	6161	3906
612	6172	3897
613	6182	3886
614	6190	3875
615	6199	3864
616	6207	3853
617	6216	3842
618	6224	3831
619	6232	3819
620	6241	3809
621	6248	3797
622	6256	3786
623	6265	3775
624	6286	3772
625	6295	3761
626	6304	3750
627	6313	3739
628	6322	3728
629	6331	3718
630	6343	3709
631	6356	3701
632	6364	3689
633	6373	3679
634	6383	3669
635	6397	3661
636	6405	3650
637	6413	3638
638	6420	3627
639	6428	3615
640	6437	3605
641	6445	3594
642	6453	3583
643	6462	3572
644	6470	3561
645	6478	3550
646	6486	3539
647	6497	3529
648	6506	3518
649	6516	3508
650	6524	3497
651	6533	3486
652	6540	3475
653	6552	3466
654	6560	3455
655	6578	3449
656	6588	3439
657	6595	3428
658	6608	3419
659	6617	3409
660	6625	3397
661	6635	3387
662	6644	3377
663	6656	3368
664	6665	3357
665	6676	3348
666	6685	3337
667	6692	3326
668	6702	3315
669	6711	3305
670	6718	3294
671	6725	3282
672	6734	3272
673	6741	3260
674	6749	3249
675	6757	3238
676	6766	3228
677	6778	3219
678	6788	3209
679	6797	3198
680	6808	3189
681	6816	3178
682	6826	3168
683	6845	3162
684	6854	3151
685	6862	3141
686	6907	3146
687	6915	3136
688	6937	3131
689	6955	3125
690	7009	3134
691	7021	3124
692	7030	3114
693	7042	3105
694	7054	3096
695	7062	3084
696	7073	3075
697	7091	3068
698	7102	3058
699	7112	3048
700	7123	3038
701	7139	3030
702	7151	3021
703	7173	3016
704	7216	3019
705	7268	3026
706	7304	3027
707	7318	3018
708	7332	3009
709	7346	3000
710	7356	2990
711	7363	2978
712	7372	2967
713	7383	2957
714	7402	2950
715	7412	2940
716	7424	2930
717	7431	2918
718	7442	2908
719	7457	2900
720	7467	2889
721	7477	2879
722	7490	2869
723	7512	2863
724	7532	2857
725	7541	2846
726	7555	2837
727	7565	2826
728	7573	2815
729	7586	2805
730	7595	2794
731	7603	2783
732	7611	2772
733	7620	2761
734	7628	2750
735	7638	2739
736	7652	2730
737	7661	2719
738	7669	2708
739	7681	2698
740	7694	2689
741	7700	2677
742	7708	2666
743	7718	2655
744	7727	2644
745	7736	2634
746	7744	2623
747	7753	2612
748	7760	2600
749	7768	2589
750	7776	2578
751	7783	2566
752	7790	2555
753	7798	2544
754	7808	2534
755	7816	2522
756	7824	2511
757	7840	2503
758	7851	2493
759	7859	2482
760	7870	2471
761	7882	2462
762	7892	2451
763	7903	2441
764	7913	2430
765	7928	2422
766	7936	2410
767	7945	2400
768	7961	2391
769	7969	2380
770	7981	2370
771	7992	2360
772	8001	2349
773	8012	2339
774	8020	2328
775	8032	2318
776	8041	2308
777	8050	2297
778	8059	2286
779	8068	2275
780	8078	2265
781	8086	2254
782	8095	2243
783	8114	2235
784	8124	2225
785	8132	2214
786	8141	2203
787	8148	2192
788	8164	2183
789	8180	2174
790	8189	2163
791	8198	2153
792	8207	2142
793	8217	2131
794	8227	2121
795	8236	2110
796	8243	2099
797	8254	2089
798	8266	2079
799	8273	2068
800	8281	2057
801	8288	2046
802	8296	2035
803	8304	2024
804	8314	2014
805	8321	2003
806	8330	1992
807	8339	1981
808	8348	1970
809	8357	1960
810	8365	1949
811	8373	1938
812	8382	1928
813	8392	1917
814	8398	1906
815	8406	1895
816	8414	1884
817	8423	1874
818	8432	1863
819	8441	1852
820	8448	1842
821	8458	1831
822	8465	1820
823	8474	1810
824	8486	1800
825	8497	1789
826	8506	1779
827	8515	1768
828	8523	1758
829	8532	1747
830	8541	1737
831	8549	1726
832	8557	1715
833	8565	1704
834	8574	1694
835	8585	1684
836	8595	1673
837	8603	1663
838	8615	1653
839	8625	1642
840	8634	1632
841	8642	1621
842	8650	1611
843	8657	1600
844	8666	1589
845	8674	1579
846	8685	1568
847	8697	1559
848	8711	1549
849	8719	1538
850	8727	1528
851	8738	1517
852	8747	1507
853	8756	1496
854	8765	1486
855	8773	1475
856	8782	1465
857	8791	1455
858	8801	1444
859	8810	1434
860	8832	1425
861	8855	1417
862	8864	1407
863	8876	1397
864	8891	1387
865	8903	1377
866	8912	1367
867	8922	1356
868	8929	1346
869	8938	1335
870	8947	1325
871	8956	1314
872	8964	1304
873	8975	1293
874	8984	1283
875	8992	1272
876	9001	1262
877	9008	1251
878	9015	1241
879	9025	1230
880	9033	1220
881	9042	1209
882	9050	1199
883	9059	1188
884	9070	1178
885	9079	1168
886	9086	1157
887	9096	1147
888	9104	1136
889	9111	1126
890	9119	1115
891	9128	1105
892	9138	1095
893	9147	1084
894	9155	1074
895	9164	1063
896	9178	1053
897	9187	1043
898	9194	1033
899	9204	1022
900	9211	1012
901	9227	1002
902	9241	992
903	9249	982
904	9258	971
905	9269	961
906	9277	951
907	9284	940
908	9292	930
909	9301	919
910	9307	909
911	9314	898
912	9321	888
913	9336	878
914	9342	867
915	9352	857
916	9360	847
917	9369	836
918	9378	826
919	9388	816
920	9397	806
921	9405	795
922	9412	785
923	9420	774
924	9428	764
925	9437	754
926	9445	743
927	9458	733
928	9464	723
929	9472	712
930	9480	702
931	9491	692
932	9498	682
933	9509	671
934	9517	661
935	9526	651
936	9535	641
937	9543	630
938	9559	621
939	9585	611
940	9607	602
941	9618	592
942	9639	582
943	9648	572
944	9656	562
945	9668	551
946	9675	541
947	9688	531
948	9695	521
949	9703	510
950	9709	500
951	9719	490
952	9727	479
953	9735	469
954	9755	459
955	9775	449
956	9785	439
957	9795	429
958	9803	419
959	9813	408
960	9822	398
961	9831	388
962	9842	378
963	9852	367
964	9861	357
965	9872	347
966	9883	337
967	9893	327
968	9904	316
969	9913	306
970	9925	296
971	9934	286
972	9947	276
973	9959	265
974	9970	255
975	9980	245
976	9988	235
977	9996	224
978	10005	214
979	10014	204
980	10033	194
981	10044	184
982	10054	173
983	10063	163
984	10071	153
985	10078	143
986	10087	132
987	10098	122
988	10116	112
989	10151	102
990	10191	92
991	10199	82
992	10214	72
993	10229	61
994	10237	51
995	10246	41
996	10257	30
997	10267	20
998	10276	10
999	10287	0
